epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,625.878,1.75248,2.05792,1.15978,0.85764,0.72567,0.83543,0.57062,1.45947,1.25719,0.9423,0.000472779,0.000472779,0.000472779
2,772.52,1.2229,0.90774,0.94762,0.92206,0.83232,0.90751,0.62394,1.33714,0.92484,0.92127,0.000939716,0.000939716,0.000939716
3,921.193,1.19615,0.83439,0.92959,0.94596,0.8659,0.91289,0.6328,1.37392,0.88695,0.93132,0.00139722,0.00139722,0.00139722
4,1073.86,1.17921,0.79272,0.93111,0.89485,0.84077,0.886,0.57075,1.72574,0.94011,0.99168,0.00138656,0.00138656,0.00138656
5,1221.47,1.11284,0.73693,0.91998,0.93566,0.8572,0.90025,0.61976,1.39103,0.80715,0.91031,0.00137241,0.00137241,0.00137241
6,1372.33,1.06041,0.68766,0.90464,0.93286,0.88793,0.93163,0.67296,1.24744,0.72897,0.90437,0.00135826,0.00135826,0.00135826
7,1521.3,1.0444,0.66242,0.90072,0.93956,0.87583,0.9179,0.66675,1.311,0.77224,0.90003,0.00134412,0.00134412,0.00134412
8,1670.08,1.01191,0.63939,0.89337,0.93252,0.87214,0.92179,0.70072,1.10694,0.71206,0.88,0.00132997,0.00132997,0.00132997
9,1819.4,0.99041,0.61348,0.88596,0.93696,0.90854,0.94524,0.71112,1.18274,0.67093,0.87935,0.00131582,0.00131582,0.00131582
10,1969.5,1.01018,0.61161,0.88654,0.94741,0.88606,0.92255,0.67188,1.175,0.70328,0.89018,0.00130168,0.00130168,0.00130168
11,2119.25,0.99017,0.60599,0.88726,0.97201,0.89953,0.9448,0.72664,1.08107,0.64743,0.87048,0.00128753,0.00128753,0.00128753
12,2268.52,0.94685,0.57755,0.8803,0.96016,0.89668,0.94227,0.73416,1.01582,0.6337,0.87609,0.00127338,0.00127338,0.00127338
13,2413.75,0.92477,0.5637,0.88404,0.92432,0.89124,0.93076,0.6897,1.20076,0.67206,0.89651,0.00125923,0.00125923,0.00125923
14,2562.42,0.9368,0.56367,0.88162,0.96622,0.89183,0.94596,0.74151,0.98025,0.58814,0.87009,0.00124509,0.00124509,0.00124509
15,2711.13,0.93566,0.55762,0.87988,0.94026,0.89009,0.92595,0.70081,1.11202,0.64877,0.91692,0.00123094,0.00123094,0.00123094
16,2858.19,0.92254,0.55774,0.87888,0.94837,0.88969,0.93945,0.73292,1.04736,0.63957,0.87223,0.00121679,0.00121679,0.00121679
17,3007.14,0.9169,0.54394,0.87561,0.96058,0.9111,0.95073,0.72246,1.08339,0.60828,0.86921,0.00120265,0.00120265,0.00120265
18,3152.38,0.89897,0.53611,0.87142,0.95742,0.90525,0.94704,0.7325,1.08073,0.60694,0.89681,0.0011885,0.0011885,0.0011885
19,3296.51,0.88433,0.52728,0.87277,0.96337,0.90201,0.94514,0.72721,1.09773,0.59125,0.86822,0.00117435,0.00117435,0.00117435
20,3440.22,0.87358,0.52238,0.87277,0.9668,0.91765,0.95577,0.73236,1.02335,0.5866,0.86597,0.00116021,0.00116021,0.00116021
21,3588.97,0.88625,0.53139,0.8703,0.97201,0.92003,0.96148,0.7545,0.99602,0.57184,0.86045,0.00114606,0.00114606,0.00114606
22,3734,0.85859,0.51281,0.86606,0.96394,0.91021,0.95292,0.75056,0.96368,0.55491,0.87079,0.00113191,0.00113191,0.00113191
23,3879.98,0.86803,0.50979,0.86936,0.95902,0.91353,0.95791,0.75204,0.95007,0.56054,0.85544,0.00111776,0.00111776,0.00111776
24,4025.42,0.86711,0.50833,0.86596,0.95071,0.92264,0.95846,0.75879,0.99311,0.5592,0.86546,0.00110362,0.00110362,0.00110362
25,4171.75,0.88246,0.51318,0.86874,0.97009,0.89444,0.95434,0.75345,0.97095,0.56505,0.8606,0.00108947,0.00108947,0.00108947
26,4316.34,0.84692,0.49682,0.86006,0.96644,0.91345,0.96013,0.75453,0.965,0.5628,0.87124,0.00107532,0.00107532,0.00107532
27,4459.82,0.84504,0.49897,0.85924,0.96045,0.92513,0.96349,0.76134,1.01863,0.56319,0.86246,0.00106118,0.00106118,0.00106118
28,4606.3,0.83386,0.48807,0.85994,0.94074,0.92724,0.96197,0.77466,0.93925,0.54752,0.85899,0.00104703,0.00104703,0.00104703
29,4750.67,0.84362,0.49642,0.863,0.98186,0.90548,0.95416,0.7571,0.96093,0.53673,0.86117,0.00103288,0.00103288,0.00103288
30,4896.3,0.84213,0.49089,0.85807,0.96476,0.93297,0.96495,0.76536,0.97555,0.55201,0.86807,0.00101873,0.00101873,0.00101873
31,5040.5,0.82884,0.48656,0.85883,0.94156,0.89592,0.95708,0.76536,0.98694,0.57182,0.85333,0.00100459,0.00100459,0.00100459
32,5187.71,0.83891,0.49115,0.86091,0.97218,0.91843,0.96113,0.75389,1.01131,0.55272,0.8576,0.00099044,0.00099044,0.00099044
33,5331.15,0.8288,0.48105,0.85922,0.96193,0.91115,0.95647,0.76183,1.00158,0.54933,0.86037,0.000976293,0.000976293,0.000976293
34,5476.6,0.82972,0.47711,0.85529,0.97573,0.92476,0.96611,0.78672,0.9607,0.52942,0.85413,0.000962146,0.000962146,0.000962146
35,5624.28,0.82058,0.47475,0.85559,0.97823,0.91833,0.96619,0.78545,0.92494,0.51083,0.8513,0.000947999,0.000947999,0.000947999
36,5772.06,0.83449,0.47642,0.85706,0.96163,0.91301,0.9578,0.77478,0.9433,0.55214,0.85361,0.000933851,0.000933851,0.000933851
37,5921.02,0.82972,0.47863,0.85836,0.97998,0.9156,0.96728,0.79657,0.91941,0.51932,0.85356,0.000919704,0.000919704,0.000919704
38,6067.57,0.80656,0.46758,0.85313,0.96434,0.92868,0.96608,0.77702,0.96433,0.52085,0.85571,0.000905557,0.000905557,0.000905557
39,6215.94,0.81422,0.4674,0.85805,0.96008,0.91924,0.96136,0.77513,0.9342,0.52443,0.85616,0.00089141,0.00089141,0.00089141
40,6365.27,0.79186,0.45828,0.85091,0.97002,0.93109,0.96564,0.7791,0.94367,0.51686,0.85731,0.000877263,0.000877263,0.000877263
41,6514.11,0.78981,0.45485,0.84842,0.97123,0.91776,0.96064,0.77924,0.9459,0.52235,0.8547,0.000863116,0.000863116,0.000863116
42,6664.9,0.80388,0.46273,0.85225,0.96707,0.89702,0.95776,0.77757,0.9446,0.53129,0.85596,0.000848969,0.000848969,0.000848969
43,6815.61,0.7859,0.44643,0.84884,0.97093,0.92475,0.96963,0.79011,0.93823,0.51345,0.84776,0.000834822,0.000834822,0.000834822
44,6967.91,0.77756,0.44684,0.85052,0.96503,0.93299,0.96809,0.78601,0.9403,0.51122,0.85449,0.000820675,0.000820675,0.000820675
45,7120.7,0.79297,0.45297,0.85173,0.98222,0.90589,0.96273,0.77694,0.96215,0.51254,0.86246,0.000806528,0.000806528,0.000806528
46,7272.96,0.78954,0.45564,0.85254,0.9528,0.92057,0.96702,0.78627,0.93817,0.50544,0.86046,0.00079238,0.00079238,0.00079238
47,7424.85,0.79399,0.45606,0.85094,0.9841,0.89887,0.96673,0.78792,0.93968,0.51717,0.85483,0.000778233,0.000778233,0.000778233
48,7574.72,0.77593,0.44551,0.84978,0.97299,0.91591,0.96135,0.77793,0.96495,0.51205,0.86215,0.000764086,0.000764086,0.000764086
49,7723.93,0.77634,0.44434,0.84632,0.97179,0.91494,0.96761,0.796,0.91633,0.49463,0.84516,0.000749939,0.000749939,0.000749939
50,7873.66,0.77208,0.44222,0.84655,0.97169,0.91252,0.9635,0.78575,0.93608,0.51066,0.85695,0.000735792,0.000735792,0.000735792
51,8026.92,0.77402,0.44551,0.84671,0.97481,0.92514,0.96636,0.78379,0.96564,0.50782,0.85347,0.000721645,0.000721645,0.000721645
52,8178.52,0.77507,0.44054,0.84846,0.98033,0.92344,0.96794,0.78727,0.97844,0.5008,0.85171,0.000707498,0.000707498,0.000707498
53,8329.81,0.76178,0.43882,0.84755,0.97026,0.92432,0.96362,0.78376,0.96603,0.50715,0.85777,0.000693351,0.000693351,0.000693351
54,8479.74,0.77248,0.44078,0.84762,0.97643,0.92379,0.96437,0.78342,0.95396,0.51272,0.85154,0.000679204,0.000679204,0.000679204
55,8630.64,0.76966,0.43654,0.85049,0.95653,0.9172,0.962,0.78527,0.94235,0.50074,0.85659,0.000665057,0.000665057,0.000665057
56,8781.34,0.76279,0.43276,0.84438,0.95169,0.9313,0.96363,0.79013,0.91282,0.48255,0.85467,0.000650909,0.000650909,0.000650909
57,8931.86,0.75409,0.43244,0.84505,0.95603,0.93506,0.9687,0.79922,0.92186,0.48449,0.84702,0.000636762,0.000636762,0.000636762
58,9080.22,0.76162,0.43012,0.84549,0.97158,0.90409,0.9681,0.80411,0.89395,0.48634,0.84766,0.000622615,0.000622615,0.000622615
59,9228.88,0.7523,0.42685,0.84548,0.9744,0.92745,0.96802,0.79915,0.93909,0.48355,0.85491,0.000608468,0.000608468,0.000608468
60,9378.38,0.74184,0.42191,0.84338,0.97145,0.91626,0.96621,0.79577,0.93881,0.48472,0.85477,0.000594321,0.000594321,0.000594321
61,9526.16,0.73802,0.41934,0.84278,0.97637,0.91788,0.9629,0.79089,0.9299,0.49025,0.84956,0.000580174,0.000580174,0.000580174
62,9674.83,0.74736,0.42723,0.84136,0.96182,0.93251,0.96966,0.80065,0.9081,0.49039,0.84928,0.000566027,0.000566027,0.000566027
63,9823.13,0.74164,0.424,0.84338,0.96707,0.92809,0.96352,0.79518,0.94395,0.48847,0.85458,0.00055188,0.00055188,0.00055188
64,9971.47,0.75226,0.42761,0.84143,0.96529,0.92553,0.96971,0.79293,0.94192,0.49217,0.85368,0.000537733,0.000537733,0.000537733
65,10120.8,0.73223,0.41605,0.84216,0.97699,0.92653,0.96698,0.7968,0.93581,0.48143,0.85027,0.000523586,0.000523586,0.000523586
66,10269.3,0.74555,0.42076,0.84018,0.96348,0.92641,0.96795,0.77976,0.95782,0.49903,0.85897,0.000509438,0.000509438,0.000509438
67,10420.1,0.72891,0.41243,0.84111,0.97731,0.92095,0.96866,0.79955,0.87703,0.47776,0.84411,0.000495291,0.000495291,0.000495291
68,10568.7,0.72337,0.40959,0.84026,0.97392,0.92018,0.96495,0.80152,0.89986,0.47141,0.84713,0.000481144,0.000481144,0.000481144
69,10718.4,0.73019,0.41146,0.8395,0.96931,0.92137,0.96615,0.79122,0.93989,0.48356,0.85151,0.000466997,0.000466997,0.000466997
70,10866.9,0.73501,0.41092,0.84194,0.95649,0.9337,0.96907,0.8035,0.8873,0.47912,0.84341,0.00045285,0.00045285,0.00045285
71,11014.8,0.73178,0.40746,0.84147,0.9697,0.91915,0.96266,0.78656,0.95521,0.49057,0.85074,0.000438703,0.000438703,0.000438703
72,11162.2,0.71778,0.40415,0.83763,0.9516,0.9287,0.96636,0.7949,0.94275,0.4833,0.84588,0.000424556,0.000424556,0.000424556
73,11308.1,0.70857,0.40045,0.83771,0.96948,0.92477,0.96542,0.79391,0.95685,0.48427,0.85123,0.000410409,0.000410409,0.000410409
74,11453.5,0.72203,0.40821,0.83856,0.97756,0.91425,0.96553,0.79998,0.90362,0.47616,0.84461,0.000396262,0.000396262,0.000396262
75,11601.5,0.7067,0.40002,0.83838,0.96801,0.92215,0.96812,0.80463,0.91447,0.47108,0.84766,0.000382115,0.000382115,0.000382115
76,11747,0.71012,0.3982,0.83792,0.97135,0.92059,0.97091,0.80557,0.90339,0.46912,0.85005,0.000367967,0.000367967,0.000367967
77,11894.7,0.70309,0.39459,0.83733,0.96274,0.92919,0.96855,0.80495,0.90362,0.46841,0.84835,0.00035382,0.00035382,0.00035382
78,12041,0.69876,0.39276,0.83444,0.96145,0.92243,0.96926,0.81029,0.88384,0.46031,0.84336,0.000339673,0.000339673,0.000339673
79,12184.7,0.69468,0.39195,0.83574,0.96569,0.92891,0.97054,0.80873,0.89692,0.45797,0.84875,0.000325526,0.000325526,0.000325526
80,12331.4,0.7064,0.39484,0.83716,0.97543,0.92494,0.97024,0.80489,0.89637,0.45889,0.84451,0.000311379,0.000311379,0.000311379
81,12475.5,0.69522,0.3923,0.83379,0.97441,0.93042,0.96899,0.80868,0.89438,0.45721,0.84274,0.000297232,0.000297232,0.000297232
82,12620.3,0.69608,0.39107,0.83464,0.97687,0.93306,0.97166,0.81123,0.91193,0.46345,0.8463,0.000283085,0.000283085,0.000283085
83,12767.5,0.69503,0.39048,0.8337,0.96468,0.93591,0.9712,0.81565,0.8881,0.4587,0.84136,0.000268938,0.000268938,0.000268938
84,12915,0.69883,0.39062,0.83518,0.96433,0.9383,0.97067,0.81115,0.90208,0.46043,0.84428,0.000254791,0.000254791,0.000254791
85,13061.4,0.69097,0.38733,0.83116,0.96938,0.93118,0.97136,0.81458,0.89459,0.4568,0.84387,0.000240644,0.000240644,0.000240644
86,13207.2,0.69197,0.38804,0.8315,0.95706,0.94144,0.97204,0.81009,0.89506,0.45724,0.84932,0.000226497,0.000226497,0.000226497
87,13354.3,0.68871,0.38667,0.8311,0.97168,0.93563,0.97162,0.81497,0.88743,0.45944,0.8441,0.000212349,0.000212349,0.000212349
88,13500.5,0.6794,0.38069,0.83139,0.96195,0.93176,0.96921,0.81289,0.91558,0.46157,0.84702,0.000198202,0.000198202,0.000198202
89,13646.4,0.67271,0.37505,0.83448,0.96825,0.93509,0.97194,0.81449,0.89183,0.45341,0.84741,0.000184055,0.000184055,0.000184055
90,13792.5,0.68182,0.37812,0.8314,0.97164,0.9385,0.97216,0.81651,0.89713,0.44552,0.84624,0.000169908,0.000169908,0.000169908
91,13860.7,0.64391,0.37064,0.83104,0.97158,0.92498,0.96871,0.80698,0.89857,0.45161,0.8452,0.000155761,0.000155761,0.000155761
92,13923.1,0.65141,0.37182,0.8318,0.9621,0.93937,0.96983,0.8076,0.88774,0.45108,0.84392,0.000141614,0.000141614,0.000141614
93,13986.9,0.63371,0.36576,0.83057,0.97894,0.92722,0.97028,0.81188,0.90979,0.45008,0.84581,0.000127467,0.000127467,0.000127467
94,14049.1,0.63513,0.36356,0.82943,0.97243,0.92574,0.96916,0.81508,0.89303,0.44592,0.84562,0.00011332,0.00011332,0.00011332
95,14111.9,0.62945,0.36131,0.82863,0.95813,0.94203,0.97025,0.81314,0.91453,0.44407,0.84753,9.91726e-05,9.91726e-05,9.91726e-05
96,14174.1,0.62553,0.35959,0.8289,0.96497,0.93192,0.96918,0.81493,0.89881,0.44462,0.8468,8.50255e-05,8.50255e-05,8.50255e-05
97,14237.8,0.62304,0.35623,0.82611,0.96621,0.93949,0.97209,0.81509,0.89304,0.44455,0.84609,7.08784e-05,7.08784e-05,7.08784e-05
